id	order	frame	time
23_06_08_140458_da1cd9f2-f5b8-4e59-a111-464c4af524df.txt	1	Initial	1686225898.0131154
23_06_08_140458_da1cd9f2-f5b8-4e59-a111-464c4af524df.txt	2	Login	1686225973.7860363
23_06_08_140458_da1cd9f2-f5b8-4e59-a111-464c4af524df.txt	3	Intro	1686226102.7536376
23_06_08_140458_da1cd9f2-f5b8-4e59-a111-464c4af524df.txt	4	Charity	1686226145.4881911
23_06_08_140458_da1cd9f2-f5b8-4e59-a111-464c4af524df.txt	5	CheatingInstructions	1686226176.4442735
23_06_08_140458_da1cd9f2-f5b8-4e59-a111-464c4af524df.txt	6	Cheating	1686226345.4595635
23_06_08_140458_da1cd9f2-f5b8-4e59-a111-464c4af524df.txt	7	Instructions2	1686226439.1744173
23_06_08_140458_da1cd9f2-f5b8-4e59-a111-464c4af524df.txt	8	Cheating	1686226445.2293715
23_06_08_140458_da1cd9f2-f5b8-4e59-a111-464c4af524df.txt	9	BDM	1686226547.8546169
23_06_08_140458_da1cd9f2-f5b8-4e59-a111-464c4af524df.txt	10	BDMResult	1686226821.4374502
23_06_08_140458_da1cd9f2-f5b8-4e59-a111-464c4af524df.txt	11	Cheating	1686226826.5173366
23_06_08_140458_da1cd9f2-f5b8-4e59-a111-464c4af524df.txt	12	Auction	1686226891.9988625
23_06_08_140458_da1cd9f2-f5b8-4e59-a111-464c4af524df.txt	13	Wait	1686227006.3676581
23_06_08_140458_da1cd9f2-f5b8-4e59-a111-464c4af524df.txt	14	AuctionResult	1686228430.852303
23_06_08_140458_da1cd9f2-f5b8-4e59-a111-464c4af524df.txt	15	Cheating	1686228434.8208385
23_06_08_140458_da1cd9f2-f5b8-4e59-a111-464c4af524df.txt	16	AuctionWait	1686228493.4989505
23_06_08_140458_da1cd9f2-f5b8-4e59-a111-464c4af524df.txt	17	Auction	1686228503.315241
23_06_08_140458_da1cd9f2-f5b8-4e59-a111-464c4af524df.txt	18	Wait	1686228605.7353694
23_06_08_140458_da1cd9f2-f5b8-4e59-a111-464c4af524df.txt	19	AuctionResult	1686228676.1867676
23_06_08_140458_da1cd9f2-f5b8-4e59-a111-464c4af524df.txt	20	Cheating	1686228682.3291886
23_06_08_140458_da1cd9f2-f5b8-4e59-a111-464c4af524df.txt	21	AuctionWait	1686228736.783309
23_06_08_140458_da1cd9f2-f5b8-4e59-a111-464c4af524df.txt	22	Auction	1686228751.162781
23_06_08_140458_da1cd9f2-f5b8-4e59-a111-464c4af524df.txt	23	Wait	1686228853.9247143
23_06_08_140458_da1cd9f2-f5b8-4e59-a111-464c4af524df.txt	24	AuctionResult	1686228854.2744496
23_06_08_140458_da1cd9f2-f5b8-4e59-a111-464c4af524df.txt	25	Cheating	1686228857.7649267
23_06_08_140458_da1cd9f2-f5b8-4e59-a111-464c4af524df.txt	26	AuctionWait	1686228910.7854888
23_06_08_140458_da1cd9f2-f5b8-4e59-a111-464c4af524df.txt	27	BDM	1686228911.1316788
23_06_08_140458_da1cd9f2-f5b8-4e59-a111-464c4af524df.txt	28	BDMResult	1686228955.1334054
23_06_08_140458_da1cd9f2-f5b8-4e59-a111-464c4af524df.txt	29	Cheating	1686228962.900011
23_06_08_140458_da1cd9f2-f5b8-4e59-a111-464c4af524df.txt	30	EndCheating	1686229029.090934
23_06_08_140458_da1cd9f2-f5b8-4e59-a111-464c4af524df.txt	31	DebriefingInstructions	1686229036.522874
23_06_08_140458_da1cd9f2-f5b8-4e59-a111-464c4af524df.txt	32	DebriefCheating1	1686229039.93127
